model,station,accuracy,precision,recall,f1
SVM,MADRID,0.8572984749455338,0.823170731707317,0.8632562715199213,0.8427370948379351
SVM,MUNCHENB,0.9546840958605665,0.8907563025210085,0.8907563025210085,0.8907563025210085
SVM,OSLO,0.9529411764705882,0.8183079056865464,0.8740740740740741,0.8452722063037249
SVM,STOCKHOLM,0.9522875816993464,0.865211810012837,0.8553299492385786,0.8602425015954053
SVM,VALENTIA,0.9775599128540305,0.8078817733990148,0.7192982456140351,0.7610208816705336
Neural Network,BASEL,0.9588235294117647,0.9026548672566371,0.9281164695177434,0.9152086137281292
Neural Network,BELGRADE,0.954248366013072,0.9146715776550031,0.9545163356822549,0.9341692789968652
Neural Network,BUDAPEST,0.965359477124183,0.932845744680851,0.9603011635865846,0.9463743676222597
Neural Network,DEBILT,0.9553376906318083,0.8768197088465846,0.8917995444191344,0.8842461885940147
Neural Network,DUSSELDORF,0.961437908496732,0.9014084507042254,0.918974358974359,0.9101066531234129
Neural Network,HEATHROW,0.95119825708061,0.8683937823834197,0.8962566844919786,0.8821052631578947
Neural Network,KASSEL,0.9655773420479303,0.8853754940711462,0.9044414535666218,0.8948069241011984
Neural Network,LJUBLJANA,0.9450980392156862,0.8754803996925442,0.9267697314890154,0.9003952569169961
Neural Network,MAASTRICHT,0.9575163398692811,0.8796296296296297,0.9163987138263665,0.8976377952755905
Neural Network,MADRID,0.8200435729847495,0.7995037220843673,0.7924249877029022,0.7959486166007905
Neural Network,MUNCHENB,0.9673202614379085,0.9229957805907173,0.9191176470588235,0.9210526315789473
Neural Network,OSLO,0.9577342047930283,0.8411347517730496,0.8785185185185185,0.8594202898550725
Neural Network,STOCKHOLM,0.961437908496732,0.8921694480102695,0.881979695431472,0.8870453095086152
Neural Network,VALENTIA,0.9790849673202614,0.8027522935779816,0.7675438596491229,0.7847533632286996
Naive Bayes,BASEL,0.940958605664488,0.8084947839046199,0.9872611464968153,0.8889799262597297
Naive Bayes,BELGRADE,0.9372549019607843,0.8995605775266792,0.9180012812299808,0.9086873811033608
Naive Bayes,BUDAPEST,0.9446623093681917,0.8755444928438083,0.9630390143737166,0.9172099087353325
Naive Bayes,DEBILT,0.9322440087145969,0.7429305912596401,0.9874715261958997,0.847921760391198
Naive Bayes,DUSSELDORF,0.9407407407407408,0.7860048820179008,0.9907692307692307,0.8765880217785844
Naive Bayes,HEATHROW,0.9061002178649238,0.6883408071748879,0.9850267379679144,0.8103827540695117
Naive Bayes,KASSEL,0.9424836601307189,0.7426545086119554,0.9865410497981157,0.8473988439306358
Naive Bayes,LJUBLJANA,0.9564270152505446,0.8763716166788588,0.9747762408462164,0.9229583975346687
Naive Bayes,MAASTRICHT,0.9287581699346406,0.7471451876019576,0.9817792068595927,0.8485409911996294
Naive Bayes,MADRID,0.8071895424836601,0.7375827814569537,0.8765371372356124,0.8010788941335132
Naive Bayes,MUNCHENB,0.940958605664488,0.7844611528822055,0.9863445378151261,0.8738948348068869
Naive Bayes,OSLO,0.9069716775599128,0.6129326047358834,0.997037037037037,0.7591652566271856
Naive Bayes,STOCKHOLM,0.9037037037037037,0.6413398692810458,0.9961928934010152,0.7803180914512923
Naive Bayes,VALENTIA,0.9202614379084967,0.38305084745762713,0.9912280701754386,0.5525672371638142
