model,station,accuracy,precision,recall,f1
KNN,BASEL,0.8788671023965141,0.7483989021043,0.7443130118289354,0.7463503649635036
KNN,BELGRADE,0.8657952069716776,0.7929324240545568,0.8193465727098014,0.8059231253938248
KNN,BUDAPEST,0.8749455337690631,0.7878001297858533,0.8309377138945927,0.8087941372418388
KNN,DEBILT,0.9028322440087146,0.7748091603053435,0.693621867881549,0.7319711538461539
KNN,DUSSELDORF,0.8919389978213508,0.7687991021324355,0.7025641025641025,0.7341907824222936
KNN,HEATHROW,0.8729847494553377,0.7032332563510393,0.651336898395722,0.6762909494725152
KNN,KASSEL,0.9209150326797385,0.7870090634441088,0.7012113055181696,0.7416370106761566
KNN,LJUBLJANA,0.884313725490196,0.7765451664025357,0.7973962571196095,0.7868325973504616
KNN,MAASTRICHT,0.900871459694989,0.7759815242494227,0.7202572347266881,0.7470817120622568
KNN,MADRID,0.8392156862745098,0.8015836050302748,0.8465322183964584,0.823444976076555
KNN,MUNCHENB,0.90239651416122,0.7950819672131147,0.7132352941176471,0.751937984496124
KNN,OSLO,0.9156862745098039,0.7352941176470589,0.6666666666666666,0.6993006993006993
KNN,STOCKHOLM,0.9050108932461873,0.7464985994397759,0.6763959390862944,0.7097203728362184
KNN,VALENTIA,0.9577342047930283,0.6666666666666666,0.2982456140350877,0.4121212121212121
Logistic Regression,BASEL,0.9605664488017429,0.9076376554174067,0.9299363057324841,0.9186516853932585
Logistic Regression,BELGRADE,0.9557734204793028,0.9281210592686002,0.942985265855221,0.9354941213854464
Logistic Regression,BUDAPEST,0.9577342047930283,0.9277515192437542,0.9404517453798767,0.9340584636301835
Logistic Regression,DEBILT,0.9583877995642701,0.902696365767878,0.876993166287016,0.8896591565569035
Logistic Regression,DUSSELDORF,0.9562091503267974,0.8981481481481481,0.8953846153846153,0.8967642526964561
Logistic Regression,HEATHROW,0.9507625272331155,0.8735511064278187,0.8866310160427807,0.8800424628450106
Logistic Regression,KASSEL,0.9697167755991285,0.9148351648351648,0.8963660834454913,0.9055064581917063
Logistic Regression,LJUBLJANA,0.9596949891067538,0.9149443561208267,0.9365337672904801,0.9256131885806193
Logistic Regression,MAASTRICHT,0.9581699346405229,0.8971061093247589,0.8971061093247589,0.8971061093247589
Logistic Regression,MADRID,0.8318082788671024,0.8089171974522293,0.8121003443187408,0.810505645557192
Logistic Regression,MUNCHENB,0.9666666666666667,0.9254526091586794,0.9128151260504201,0.9190904283447912
Logistic Regression,OSLO,0.9679738562091503,0.8837209302325582,0.9007407407407407,0.8921496698459281
Logistic Regression,STOCKHOLM,0.9690631808278867,0.9205729166666666,0.8972081218274112,0.9087403598971723
Logistic Regression,VALENTIA,0.984313725490196,0.9105263157894737,0.7587719298245614,0.8277511961722488
Decision Tree,BASEL,1.0,1.0,1.0,1.0
Decision Tree,BELGRADE,1.0,1.0,1.0,1.0
Decision Tree,BUDAPEST,1.0,1.0,1.0,1.0
Decision Tree,DEBILT,1.0,1.0,1.0,1.0
Decision Tree,DUSSELDORF,1.0,1.0,1.0,1.0
Decision Tree,HEATHROW,1.0,1.0,1.0,1.0
Decision Tree,KASSEL,1.0,1.0,1.0,1.0
Decision Tree,LJUBLJANA,1.0,1.0,1.0,1.0
Decision Tree,MAASTRICHT,1.0,1.0,1.0,1.0
Decision Tree,MADRID,0.8252723311546841,0.7724656927844179,0.8583374323659616,0.8131407269338303
Decision Tree,MUNCHENB,1.0,1.0,1.0,1.0
Decision Tree,OSLO,1.0,1.0,1.0,1.0
Decision Tree,STOCKHOLM,1.0,1.0,1.0,1.0
Decision Tree,VALENTIA,1.0,1.0,1.0,1.0
Random Forest,BASEL,0.9814814814814815,0.9642857142857143,0.9581437670609645,0.9612049292560475
